id,classes,se,code,name,pinyin,price,change,net,volume,value,mark,operation,hold,cost,profit,roi,roe,pe,rate,pb,dividend,dividend_yield,delta,total_share,time_to_market,created,modified
3173,A,sz,300268,佳沃股份,jwgf,13.17,0.27,2.093,0,0,0,0,0,0,0,1994089.16,-216.94,-23.89,3847.59,-11.36,0.0,0.0,0,134000000.0,2011-09-30,2020-08-29 19:11,2020-08-29 19:11
210,A,sh,600291,西水股份,xsgf,8.43,-0.94,-10.032,0,0,0,0,0,0,0,807342.59,-539.79,-642.19,23.29,-0.55,0.0,0.0,0,1093064378.0,2000-07-31,2020-08-29 19:11,2020-08-29 19:11
2973,A,sz,300064,豫金刚石,yjgs,2.91,-0.27,-8.491,0,0,0,0,0,0,0,254802.42,-80.43,-159.75,198.31,2.57,0.0,0.0,0,1205476595.0,2010-03-31,2020-08-29 19:11,2020-08-29 19:11
1832,A,sz,000701,厦门信达,xmxd,5.68,0.05,0.888,0,0,0,0,0,0,0,168533.06,-95.52,-113.86,154.96,14.58,0.0,0.0,0,406613056.0,1997-02-28,2020-08-29 19:11,2020-08-29 19:11
3063,A,sz,300157,恒泰艾普,htap,4.39,-0.09,-2.009,0,0,0,0,0,0,0,71821.89,-29.97,-34.56,693.42,1.28,0.0,0.0,0,712113257.0,2011-01-31,2020-08-29 19:11,2020-08-29 19:11
710,A,sh,600986,科达股份,kdgf,5.13,0.07,1.383,0,0,0,0,0,0,0,22503.55,-41.25,-37.33,146.14,1.89,0.0,0.0,0,1324552361.0,2004-04-30,2020-08-29 19:11,2020-08-29 19:11
3239,A,sz,300334,津膜科技,jmkj,9.49,-0.49,-4.91,0,0,0,0,0,0,0,19858.42,-51.94,-29.94,127.7,3.63,0.0,0.0,0,302065356.0,2012-07-31,2020-08-29 19:11,2020-08-29 19:11
3084,A,sz,300178,腾邦国际,tbgj,4.66,0.36,8.372,0,0,0,0,0,0,0,8101.52,-69.54,-68.05,17.12,2.39,0.0,0.0,0,616508293.0,2011-02-28,2020-08-29 19:11,2020-08-29 19:11
2356,A,sz,002378,章源钨业,zywy,4.75,0.02,0.423,0,0,0,0,0,0,0,7134.46,-16.75,-7.42,574.04,2.73,0.0,0.0,0,924167436.0,2010-03-31,2020-08-29 19:11,2020-08-29 19:11
500,A,sh,600691,阳煤化工,ymhg,2.13,-0.01,-0.467,0,0,0,0,0,0,0,6127.81,-24.25,-28.54,88.54,1.05,0.0,0.0,0,2375981952.0,1993-11-30,2020-08-29 19:11,2020-08-29 19:11
637,A,sh,600858,银座股份,yzgf,6.33,0.02,0.317,0,0,0,0,0,0,0,5945.86,-7.4,-6.97,1152.79,1.15,0.35,0.55,0,520066589.0,1994-05-31,2020-08-29 19:11,2020-08-29 19:11
178,A,sh,600239,云南城投,ynct,3.97,-0.02,-0.501,0,0,0,0,0,0,0,5520.12,-82.96,-54.72,12.16,4.43,0.0,0.0,0,1605686908.0,1999-12-30,2020-08-29 19:11,2020-08-29 19:11
2539,A,sz,002582,好想你,hxn,15.92,-0.01,-0.063,0,0,0,0,0,0,0,3240.73,69.56,28.27,16.48,1.46,0.86,0.54,0,515684160.0,2011-05-31,2020-08-29 19:11,2020-08-29 19:11
2361,A,sz,002383,合众思壮,hzsz,10.59,-0.35,-3.199,0,0,0,0,0,0,0,2487.06,-30.11,-14.7,56.19,2.93,0.0,0.0,0,745158184.0,2010-04-30,2020-08-29 19:11,2020-08-29 19:11
2656,A,sz,002714,牧原股份,mygf,89.73,1.13,1.275,0,0,0,0,0,0,0,2298.66,106.07,5.43,39.91,10.9,5.5,0.61,0,3747834147.0,2014-01-30,2020-08-29 19:11,2020-08-29 19:11
3313,A,sz,300410,正业科技,zykj,8.77,-0.31,-3.414,0,0,0,0,0,0,0,2225.7,-48.66,-27.34,16.73,3.35,0.0,0.0,0,381290225.0,2014-12-31,2020-08-29 19:11,2020-08-29 19:11
2167,A,sz,002164,宁波东力,nbdl,5.97,-0.17,-2.769,0,0,0,0,0,0,0,1686.37,205.48,31.81,2.58,5.97,0.0,0.0,0,564715112.0,2007-08-31,2020-08-29 19:11,2020-08-29 19:11
394,A,sh,600556,天下秀,txx,20.82,0.11,0.531,0,0,0,0,0,0,0,1637.99,-2194.96,1.25,-5.97,32.6,0.15,0.07,0,1680420315.0,2001-08-31,2020-08-29 19:11,2020-08-29 19:11
2479,A,sz,002517,恺英网络,kywl,5.84,0.01,0.172,0,0,0,0,0,0,0,1631.57,-36.77,-14.36,30.9,4.51,0.0,0.0,0,2152517634.0,2010-12-31,2020-08-29 19:11,2020-08-29 19:11
3241,A,sz,300336,新文化,xwh,5.35,-0.12,-2.194,0,0,0,0,0,0,0,1292.57,-35.77,-25.61,14.11,2.25,0.0,0.0,0,806230192.0,2012-07-31,2020-08-29 19:11,2020-08-29 19:11
2176,A,sz,002173,创新医疗,cxyl,7.64,-0.01,-0.131,0,0,0,0,0,0,0,1282.58,-32.53,-33.47,11.78,1.44,0.0,0.0,0,454856365.0,2007-09-28,2020-08-29 19:11,2020-08-29 19:11
3005,A,sz,300097,智云股份,zygf,15.05,0.37,2.52,0,0,0,0,0,0,0,1158.95,-32.76,-14.1,25.09,3.47,0.0,0.0,0,288549669.0,2010-07-30,2020-08-29 19:11,2020-08-29 19:11
2160,A,sz,002157,正邦科技,zbkj,24.54,0.22,0.905,0,0,0,0,0,0,0,1076.46,59.45,7.14,25.36,5.21,0.7,0.29,0,2504372315.0,2007-08-31,2020-08-29 19:11,2020-08-29 19:11
2698,A,sz,002761,多喜爱,dxa,10.11,-0.09,-0.882,0,0,0,0,0,0,0,949.76,29.11,9.86,33.09,2.77,2.0,1.98,0,1081340098.0,2015-06-30,2020-08-29 19:11,2020-08-29 19:11
433,A,sh,600601,方正科技,fzkj,4.71,-0.05,-1.05,0,0,0,0,0,0,0,832.51,-39.52,-11.35,18.56,5.81,0.0,0.0,0,2194891204.0,1990-12-31,2020-08-29 19:11,2020-08-29 19:11
3183,A,sz,300278,华昌达,hcd,6.04,-0.03,-0.494,0,0,0,0,0,0,0,693.23,-94.38,-31.66,2.32,17.11,0.0,0.0,0,597183412.0,2011-12-30,2020-08-29 19:11,2020-08-29 19:11
2258,A,sz,002269,美邦服饰,mbfs,2.23,0.0,0.0,0,0,0,0,0,0,0,685.66,-42.59,-20.8,7.74,3.59,0.0,0.0,0,2512500000.0,2008-08-29,2020-08-29 19:11,2020-08-29 19:11
1987,A,sz,000958,东方能源,dfny,5.36,0.05,0.942,0,0,0,0,0,0,0,634.78,28.09,13.07,17.29,1.81,0.1,0.19,0,5383418520.0,1999-12-30,2020-08-29 19:11,2020-08-29 19:11
149,A,sh,600198,大唐电信,dtdx,12.28,0.05,0.409,0,0,0,0,0,0,0,614.28,601.6,-7.62,-1.34,-133.62,0.0,0.0,0,882108472.0,1998-10-30,2020-08-29 19:11,2020-08-29 19:11
1893,A,sz,000800,一汽解放,yqjf,14.37,-0.07,-0.485,0,0,0,0,0,0,0,605.16,9.35,3.2,202.26,2.76,0.0,0.0,0,4609666212.0,1997-06-27,2020-08-29 19:11,2020-08-29 19:11
2612,A,sz,002662,京威股份,jwgf,4.45,-0.07,-1.549,0,0,0,0,0,0,0,541.51,-36.57,-27.12,5.46,2.12,0.0,0.0,0,1500000000.0,2012-03-30,2020-08-29 19:11,2020-08-29 19:11
2633,A,sz,002686,亿利达,yld,5.71,0.04,0.705,0,0,0,0,0,0,0,535.11,-32.62,-19.86,8.26,2.55,0.0,0.0,0,435568563.0,2012-07-31,2020-08-29 19:11,2020-08-29 19:11
3321,A,sz,300418,昆仑万维,klww,27.63,-0.48,-1.708,0,0,0,0,0,0,0,469.94,107.36,13.51,3.24,3.74,0.26,0.09,0,1173023110.0,2015-01-30,2020-08-29 19:11,2020-08-29 19:11
445,A,sh,600617,国新能源,gxny,5.0,0.09,1.833,0,0,0,0,0,0,0,436.59,-10.34,-7.24,58.32,1.55,0.0,0.0,0,1084663692.0,1992-10-30,2020-08-29 19:11,2020-08-29 19:11
628,A,sh,600846,同济科技,tjkj,9.57,0.69,7.77,0,0,0,0,0,0,0,432.43,58.21,22.58,3.29,2.03,3.4,3.55,0,624761516.0,1994-03-31,2020-08-29 19:11,2020-08-29 19:11
166,A,sh,600221,海航控股,hhkg,1.64,0.01,0.613,0,0,0,0,0,0,0,388.14,-25.57,-44.91,3.38,0.79,0.0,0.0,0,16806120330.0,1999-11-30,2020-08-29 19:11,2020-08-29 19:11
3088,A,sz,300182,捷成股份,jcgf,5.62,0.04,0.717,0,0,0,0,0,0,0,387.4,-24.47,-17.06,9.28,1.91,0.0,0.0,0,2574960807.0,2011-02-28,2020-08-29 19:11,2020-08-29 19:11
3230,A,sz,300325,德威新材,dwxc,3.25,-0.23,-6.609,0,0,0,0,0,0,0,374.99,-45.41,-18.94,4.36,4.26,0.0,0.0,0,1005743085.0,2012-06-29,2020-08-29 19:11,2020-08-29 19:11
3008,A,sz,300100,双林股份,slgf,9.13,1.52,19.974,0,0,0,0,0,0,0,362.6,-34.21,-21.99,4.82,2.32,0.0,0.0,0,456566616.0,2010-08-31,2020-08-29 19:11,2020-08-29 19:11
3102,A,sz,300197,铁汉生态,thst,3.21,-0.04,-1.231,0,0,0,0,0,0,0,339.17,-17.03,-14.58,13.66,1.44,0.0,0.0,0,2346331787.0,2011-03-31,2020-08-29 19:11,2020-08-29 19:11
1638,A,sz,000040,东旭蓝天,dxlt,3.33,-0.01,-0.299,0,0,0,0,0,0,0,334.47,-9.2,-26.89,13.52,0.38,0.0,0.0,0,1486873869.0,1994-08-31,2020-08-29 19:11,2020-08-29 19:11
